STT;SACH;BAI;CHUDE;MUCDO;CAUHOI;CAUTRALOI;DAPAN;MA_YCCD;NOIDUNG_YCCD
1;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Thông hiểu;Điện thoại thông minh khác với điện thoại thường ở điểm nào?;Điện thoại thông minh có khả năng thực hiện một số tính toán phức tạp.~Điện thoại thông minh có khả năng cài đặt một số phần mềm ứng dụng nên có thể truy cập Internet và hiển thị dữ liệu đa phương tiện.~Điện thoại thông minh với hệ điều hành có các tính năng “thông minh” hơn so với điện thoại thường.~Tất cả các đáp án trên.;Tất cả các đáp án trên.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ.
2;Kết nối tri thức;Thông tin và xử lý thông tin;A;Nhận biết;Định nghĩa nào về Byte là đúng?;Là một kí tự.~Là đơn vị dữ liệu 8 bit.~Là đơn vị đo tốc độ của máy tính.~Là một dãy 8 chữ số.;Là một dãy 8 chữ số.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ.
3;Kết nối tri thức;Thực hành sử dụng thiết bị số thông dụng;A;Nhận biết;Trên điện thoại thông minh có các nút bấm nào?;Nút khoá.~Nút tăng/giảm âm lượng.~Nút khóa và nút tăng/ giảm âm lượng.~Tất cả đều sai;Nút khóa và nút tăng/ giảm âm lượng.;A7;Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~
4;Kết nối tri thức;Thông tin và xử lý thông tin;A;Nhận biết;Chọn câu đúng trong các câu sau:;1MB = 1024KB.~1PB = 1024 GB~1ZB = 1024PB~1Bit = 1024B;1MB = 1024KB.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ.
5;Kết nối tri thức;Thông tin và xử lý thông tin;A;Thông hiểu;Mã hoá thông tin có mục đích gì?;Để thay đổi lượng thông tin.~Để chuyển thông tin về dạng câu lệnh của ngôn ngữ máy.~Làm cho thông tin phù hợp với dữ liệu trong máy.~Tất cả các đáp án trên.;Tất cả các đáp án trên.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ.
6;Kết nối tri thức;Thông tin và xử lý thông tin;A;Nhận biết;Chọn câu đúng trong các câu dưới đây?;Dữ liệu là thông tin đã được đưa vào trong máy tính.~CPU là vùng nhớ đóng vai trò trung gian giữa bộ nhớ và các thanh ghi.~Đĩa cứng là bộ nhớ trong.~8 bytes = 1 bit.;Dữ liệu là thông tin đã được đưa vào trong máy tính.;A1;Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ.
7;Kết nối tri thức;Vai trò của thiết bị thông minh và tin học với xã hội;A;Nhận biết;Cách mạng công nghiệp 4.0 bắt đầu diễn ra vào lúc nào?;Cuối thế kỉ XVIII đầu thế kỉ XIX.~Cuối thế kỉ XIX đầu thế kỉ XX.~Cuối thế kỉ XX đầu thế kỉ XXI.~Đầu thế kỉ XXI.;Đầu thế kỉ XXI.;A2~A3~A7;Chuyển đổi được giữa các đơn vị lưu trữ thông tin: B, KB, MB,...~Nêu được sự ưu việt của việc lưu trữ, xử lí và truyền thông tin bằng thiết bị số~Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó.~~~~
8;Kết nối tri thức;Ứng xử trên môi trường số. Nghĩa vụ tôn trọng bản quyền;D;Nhận biết;Quốc hội đã ban hành một số điều luật Công nghệ thông tin có hiệu lực từ năm nào?;12/12/2005.~01/2007.~12/2005.~1/03/2006.;01/2007.;D1~D2~D3~D4~D6;Nêu được một số vấn đề nảy sinh về pháp luật, đạo đức, văn hoá khi việc giao tiếp qua mạng trở nên phổ biến.~Nêu được ví dụ minh hoạ sự vi phạm bản quyền thông tin và sản phẩm số, qua ví dụ đó giải thích được sự vi phạm đã diễn ra thế nào và có thể dẫn tới hậu quả gì.~Trình bày và giải thích được một số nội dung cơ bản của Luật Công nghệ thông tin, Nghị định về quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ Công nghệ thông tin, Luật An ninh mạng. Nêu được ví dụ minh hoạ.~Giải thích được một số khía cạnh pháp lí của vấn đề bản quyền, của việc sở hữu, sử dụng và trao đổi thông tin trong môi trường số. Nêu được ví dụ minh hoạ.~Nêu được ví dụ về những tác hại của việc chia sẻ và phổ biến thông tin một cách bất cẩn~~
9;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;A;Thông hiểu;Tác dụng của việc phân loại dữ liệu là gì?;Tạo điều kiện thuận lợi cho xử lí thông tin.~Có cách biểu diễn phù hợp nhằm tạo điều kiện thuận lợi cho việc xử lí thông tin.~Dễ gọi tên và phân biệt.~Xử lí thông tin chính xác.;Có cách biểu diễn phù hợp nhằm tạo điều kiện thuận lợi cho việc xử lí thông tin.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode).~~~~~
10;Kết nối tri thức;Một số kiểu dữ liệu và dữ liệu văn bản;A;Nhận biết;Tập truyện tranh quen thuộc với nhiều bạn nhỏ “Đô - rê - mon” cho em dạng thông tin gì?;Dạng văn bản.~Dạng âm thanh.~Dạng hình ảnh.~Tổng hợp hai dạng văn bản và hình ảnh.;Tổng hợp hai dạng văn bản và hình ảnh.;A8~A9;Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị phân trong tin học. Giải thích được sơ lược việc số hoá văn bản, hình ảnh, âm thanh.~Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode).~~~~~
